id,department,intent,language,question,answer,source,tags
1,General,greetings,en,hi,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
2,General,greetings,en,hello,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
3,General,greetings,en,hey there,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
4,General,greetings,en,good morning,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
5,General,greetings,en,good afternoon,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
6,General,greetings,en,good evening,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
7,General,greetings,en,hey,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
8,General,greetings,en,whats up,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
9,General,greetings,en,howdy,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
10,General,greetings,en,greetings,Hello! Welcome to VISTA. How can I help you with Panabo City services today?,System,"hello,hi,greetings"
11,General,greetings,tl,kumusta,Kumusta! Maligayang pagdating sa VISTA. Paano ko kayo matutulungan ngayon?,System,"hello,hi,greetings"
12,General,greetings,tl,magandang umaga,Kumusta! Maligayang pagdating sa VISTA. Paano ko kayo matutulungan ngayon?,System,"hello,hi,greetings"
13,General,greetings,tl,magandang hapon,Kumusta! Maligayang pagdating sa VISTA. Paano ko kayo matutulungan ngayon?,System,"hello,hi,greetings"
14,General,greetings,tl,magandang gabi,Kumusta! Maligayang pagdating sa VISTA. Paano ko kayo matutulungan ngayon?,System,"hello,hi,greetings"
15,General,greetings,tl,hello po,Kumusta! Maligayang pagdating sa VISTA. Paano ko kayo matutulungan ngayon?,System,"hello,hi,greetings"
16,General,greetings,tl,hi po,Kumusta! Maligayang pagdating sa VISTA. Paano ko kayo matutulungan ngayon?,System,"hello,hi,greetings"
17,General,greetings,bis,maayong adlaw,Maayong adlaw! Welcome sa VISTA. Unsa may akong ikatabang kanimo karon?,System,"hello,hi,greetings"
18,General,greetings,bis,maayong buntag,Maayong adlaw! Welcome sa VISTA. Unsa may akong ikatabang kanimo karon?,System,"hello,hi,greetings"
19,General,greetings,bis,maayong hapon,Maayong adlaw! Welcome sa VISTA. Unsa may akong ikatabang kanimo karon?,System,"hello,hi,greetings"
20,General,greetings,bis,maayong gabii,Maayong adlaw! Welcome sa VISTA. Unsa may akong ikatabang kanimo karon?,System,"hello,hi,greetings"
21,General,greetings,bis,kumusta ka,Maayong adlaw! Welcome sa VISTA. Unsa may akong ikatabang kanimo karon?,System,"hello,hi,greetings"
22,General,greetings,bis,hey vista,Maayong adlaw! Welcome sa VISTA. Unsa may akong ikatabang kanimo karon?,System,"hello,hi,greetings"
23,Civil Registrar,birth_certificate_process,en,How do I get a birth certificate?,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
24,Civil Registrar,birth_certificate_process,en,What is the process for getting a birth certificate?,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
25,Civil Registrar,birth_certificate_process,en,Where do I go to request a birth certificate?,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
26,Civil Registrar,birth_certificate_process,en,I need a birth certificate,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
27,Civil Registrar,birth_certificate_process,en,How can I request a copy of my birth certificate?,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
28,Civil Registrar,birth_certificate_process,en,How to get birth cert?,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
29,Civil Registrar,birth_certificate_process,en,Can you help me get a birth certificate?,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
30,Civil Registrar,birth_certificate_process,en,Steps to obtain a birth certificate,"To request a birth certificate, visit the Civil Registrar's Office, fill out the request form, submit a valid ID, and pay the required fee.",Citizen Charter,"birth,certificate,process"
