id,department,intent,language,question,source,tags,answer
1,City Mayor's Office,greetings,en,hi,System,"hello,hi,greetings",
2,City Mayor's Office,greetings,en,hello,System,"hello,hi,greetings",
3,City Mayor's Office,greetings,en,hey there,System,"hello,hi,greetings",
4,City Mayor's Office,greetings,en,good morning,System,"hello,hi,greetings",
5,City Mayor's Office,greetings,en,good afternoon,System,"hello,hi,greetings",
6,City Mayor's Office,greetings,en,good evening,System,"hello,hi,greetings",
7,City Mayor's Office,greetings,en,hey,System,"hello,hi,greetings",
8,City Mayor's Office,greetings,en,whats up,System,"hello,hi,greetings",
9,City Mayor's Office,greetings,en,howdy,System,"hello,hi,greetings",
10,City Mayor's Office,greetings,en,greetings,System,"hello,hi,greetings",
11,City Mayor's Office,greetings,tl,kumusta,System,"hello,hi,greetings",
12,City Mayor's Office,greetings,tl,magandang umaga,System,"hello,hi,greetings",
13,City Mayor's Office,greetings,tl,magandang hapon,System,"hello,hi,greetings",
14,City Mayor's Office,greetings,tl,magandang gabi,System,"hello,hi,greetings",
15,City Mayor's Office,greetings,tl,hello po,System,"hello,hi,greetings",
16,City Mayor's Office,greetings,tl,hi po,System,"hello,hi,greetings",
17,City Mayor's Office,greetings,bis,maayong adlaw,System,"hello,hi,greetings",
18,City Mayor's Office,greetings,bis,maayong buntag,System,"hello,hi,greetings",
19,City Mayor's Office,greetings,bis,maayong hapon,System,"hello,hi,greetings",
20,City Mayor's Office,greetings,bis,maayong gabii,System,"hello,hi,greetings",
21,City Mayor's Office,greetings,bis,kumusta ka,System,"hello,hi,greetings",
22,City Mayor's Office,greetings,bis,hey vista,System,"hello,hi,greetings",
23,City Civil Registrar's Office,birth_certificate_process,en,How do I get a birth certificate?,Citizen Charter,"birth,certificate,process",
24,City Civil Registrar's Office,birth_certificate_process,en,What is the process for getting a birth certificate?,Citizen Charter,"birth,certificate,process",
25,City Civil Registrar's Office,birth_certificate_process,en,Where do I go to request a birth certificate?,Citizen Charter,"birth,certificate,process",
26,City Civil Registrar's Office,birth_certificate_process,en,I need a birth certificate,Citizen Charter,"birth,certificate,process",
27,City Civil Registrar's Office,birth_certificate_process,en,How can I request a copy of my birth certificate?,Citizen Charter,"birth,certificate,process",
28,City Civil Registrar's Office,birth_certificate_process,en,How to get birth cert?,Citizen Charter,"birth,certificate,process",
29,City Civil Registrar's Office,birth_certificate_process,en,Can you help me get a birth certificate?,Citizen Charter,"birth,certificate,process",
30,City Civil Registrar's Office,birth_certificate_process,en,Steps to obtain a birth certificate,Citizen Charter,"birth,certificate,process",
31,City Civil Registrar's Office,birth_certificate_process,tl,Paano kumuha ng birth certificate?,Citizen Charter,"birth,certificate,process",
32,City Civil Registrar's Office,birth_certificate_process,tl,Saan pupunta para kumuha ng birth certificate?,Citizen Charter,"birth,certificate,process",
33,City Civil Registrar's Office,birth_certificate_process,tl,Gusto ko kumuha ng birth certificate,Citizen Charter,"birth,certificate,process",
34,City Civil Registrar's Office,birth_certificate_process,tl,Paano po makakuha ng birth certificate?,Citizen Charter,"birth,certificate,process",
