Department,Service Name,Requirements,Process,Fee,Location
City Mayor's Office - BPLS,1. Application for New Business Permit (Walk-in),"Business App Form; Location sketch; Govt ID; DTI/SEC/CDA Reg; Proof of property right (Title, Lease, etc.); Cert. of Employees/Capitalization; BFP FSIC. Situational: Market Clearance, PAGCOR, NTC, PCAB, BSP, DHSUD, BAI, SPA/Board Reso.","1. Submit docs to BPLS for validation and routing to regulatory offices. 1.1-1.4 Evaluate, inspect, encode, endorse, and approve assessment. 2. Proceed to CTO to pay. 2.1-2.3 Present OR, prepare, review, and approve permit. 3. Receive permit, plate, and clearances.",Based on Local Tax Code (varies by gross receipts/classification) + Corresponding Barangay Clearance Fee.,"BPLS, Regulatory Offices (CHO, BFP, CPDO, CENRO, CBOO, CASSO), CTO."
City Mayor's Office - BPLS,2. Application for New Business Permit (Online),"Scanned copies of: App Form, Sketch, Govt ID, DTI/SEC/CDA, Proof of location right, Cert of Employees, BFP FSIC. Situational requirements as applicable.","1. Upload docs to eBOSS. 1.1-1.4 Evaluate, endorse, approve, and email assessment. 2. Pay via Landbank portal. 2.1-2.3 Accept payment, prepare, review, and approve permit. 3. Receive e-Permit/EOR via email, await physical delivery.",Based on Local Tax Code + Corresponding Barangay Clearance Fee.,"eBOSS (Online), BPLS, Regulatory Offices, Landbank."
City Mayor's Office - BPLS,3. Renewal of Business Permit (Walk-in),"Sworn dec of Gross Sales/ITR/AFS; Cert of Employees; Valid FSIC. Situational: Market Clearance, Lessor Permit, DTI, NTC, PAGCOR, PCAB, BSP, DHSUD, AMLC PCOR, SPA/Board Reso.","1. Submit docs to BPLS. 1.1-1.5 Evaluate, encode, endorse, prepare, and approve assessment. 2. Proceed to CTO to pay. 2.1-2.4 Present OR, prepare, review, and approve permit. 3. Receive renewed permit/sticker.",Based on Local Tax Code + Corresponding Barangay Clearance Fee.,"BPLS, Regulatory Offices, CTO."
City Mayor's Office - BPLS,4. Application for Renewal of Business Permit (Online),"Scanned copies of: Gross Sales dec/ITR/AFS, Cert of Employees, Valid FSIC. Situational docs as applicable.","1. Upload docs to eBOSS. 1.1-1.4 Evaluate, endorse, approve, and email assessment. 2. Pay via Landbank portal. 2.1-2.3 Accept payment, prepare, review, and approve permit. 3. Receive e-Permit/EOR via email.",Based on Local Tax Code + Corresponding Barangay Clearance Fee.,"eBOSS (Online), BPLS, Regulatory Offices, Landbank."
City Mayor's Office - BPLS,5. Retirement of Business Permit,App Form; Affidavit of Retirement; AFS for 3 years; Original Mayor's Permit; Business Plate; Barangay Cert of non-operation; Board Reso/Sec Cert; Affidavit of Non-operation/Loss.,1. Submit docs to BPLS for inspection/verification. 2. Proceed to CTO for assessment/payment. 2.1-2.6 Prepare and approve termination document. 3. Receive approved action taken.,"Surrender Fee: PHP 80.00 + Penalties if applicable (PHP 100 to PHP 1,000 depending on delay).","BPLS, CTO."
City Mayor's Office - BPLS,6. Transfer of Ownership / Change Location,App Form; Previous Permit; Valid FSIC; Govt ID; Proof of location right; Cert of Employees. For Ownership: Affidavit/Board Reso. For Location: Valid DTI. Situational docs.,"1. Submit docs to BPLS, encode, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.6 Prepare, review, and approve certification of action taken & permit. 3. Receive approved docs.","Transfer Location: PHP 180.00. Transfer Ownership: Single to Single (PHP 180), Single to Corp (PHP 360), Corp to Single (PHP 500).","BPLS, CTO."
City Mayor's Office - BPLS,7. Motorized Tricycle Operators Permit – Franchise (New),Verified App (4 copies); Picture of unit/owner; Insurance Policy; CR/OR; Traffic Clearance; 2 Govt IDs; Residential Sketch.,"1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.5 Prepare, review, and approve MTOP. 3. Receive approved MTOP.","Franchise: PHP 325, Filing: PHP 400, Mayor's Permit: PHP 100, Traffic Clearance: PHP 50, Sticker: PHP 75, Service Fee: PHP 50. Total: PHP 1,000.00.","BPLS, CTO."
City Mayor's Office - BPLS,8. Motorized Tricycle Operators Permit - Franchise (Renewal),"Verified App (4 copies); Insurance; CR/OR; Traffic Clearance; 2 Govt IDs; Residential Sketch. Representative: SPA, ID.","1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.5 Prepare, review, and approve MTOP. 3. Receive approved MTOP.","Franchise: PHP 325, Filing: PHP 400. Surcharge for failure to renew: PHP 300. Total: PHP 725.00 / PHP 1,025.00.","BPLS, CTO."
City Mayor's Office - BPLS,9. Motorized Tricycle Operators Permit (Annual Mayor’s Permit),"CR/OR; Traffic Clearance; Insurance Policy; Latest MTOP. Representative: SPA, ID.","1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.5 Prepare, review, and approve MTOP Mayor's Permit. 3. Receive Permit.","Mayor's Permit: PHP 100, Traffic Clearance: PHP 50, Sticker: PHP 75, Service Fee: PHP 50. Surcharge: PHP 200. Total: PHP 275.00 / PHP 475.00.","BPLS, CTO."
City Mayor's Office - BPLS,10. Motorized Tricycle Operators Permit (Dropping of Franchise),"BIR Clearance; CR/OR; 2 Govt IDs. Representative: SPA, ID. Death Cert if applicable.","1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.5 Prepare, review, and approve dropping doc. 3. Receive doc.",Dropping Fee: PHP 200.00.,"BPLS, CTO."
City Mayor's Office - BPLS,11. Motorized Tricycle Operators Permit (Substitution of Unit),"Old CR/OR; New CR/OR. Representative: SPA, ID.","1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.5 Prepare, review, and approve substitution doc. 3. Receive doc.",Substitution Fee: PHP 300.00/unit.,"BPLS, CTO."
City Mayor's Office - BPLS,12. Motorized Tricycle Operators Permit (Transfer of Ownership),Approved Dropping App; Affidavit of consent; Deed of Sale.,"1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.2 Record and release stamped doc. 3. Receive doc.","Transfer of Ownership: PHP 5,000.00/unit.","BPLS, CTO."
City Mayor's Office - BPLS,13. Motorized Tricycle / Trisikad Driver’s Identification Card,App Form; Prof Driver's License (except Trisikad); Residence Cert; Latest MTOP/TOP; Traffic Clearance; 2x2 Picture (2 pcs).,"1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.5 Prepare, review, and approve ID. 3. Receive ID.",ID Fee: PHP 75.00.,"BPLS, CTO."
City Mayor's Office - BPLS,14. Trisikad Operators Permit (TOP),"Traffic Clearance; Insurance Policy; Residence Cert; 1 Valid ID; Residential Sketch. Representative: SPA, ID.","1. Submit docs to BPLS, issue order of payment. 2. Proceed to CTO to pay. 2.1-2.5 Prepare, review, and approve TOP. 3. Receive TOP.","Mayor's Permit: PHP 200, Traffic Clearance: PHP 50, Plate: PHP 75. Surcharge: PHP 100. Total: PHP 325.00 / PHP 425.00.","BPLS, CTO."
City Mayor's Office - BPLS,15. Occupational Permit,Brgy Clearance; Residence Cert; Police/NBI Clearance. Uniformed Personnel: Fiscal & Court Clearance.,"1. Submit docs to BPLS, prepare order of payment. 2. Proceed to CTO to pay. 2.1-2.3 Prepare and approve permit. 3. Receive permit.",Mayor's Occupational Permit Fee: PHP 100.00.,"BPLS, CTO."
City Mayor's Office - BPLS,16. Mayor’s Special Permit,"Letter Request; App Form; Brgy Clearance; Community Tax Cert; Market Clearance. Additional docs based on specific activity (SP Reso, SEC reg, MOA, etc.).","1. Submit docs to BPLS, prepare order of payment. 2. Proceed to CTO to pay. 2.1-2.3 Prepare and approve permit. 3. Receive permit.",Varies depending on Activity / Local Tax Code.,"BPLS, CTO."
2. General Services Directory,,,,,
,,,,,
The document provides the names for the remaining services without specific step-by-step procedures attached.,,,,,
,,,,,
Department,Service Number & Name,,,,
City Mayor's Office,17. Issuance of Certificate of Legitimate/Bonafide Beneficiary,,,,
City Mayor's Office,18. Issuance of Billing Statement for Socialized Housing Projects,,,,
City Mayor's Office,19. Issuance of Certification to HOA Applicants for CMP,,,,
City Mayor's Office,20. Request for Public Service Announcement,,,,
City Mayor's Office,21. Request for copies of IEC/Statements/Advisories,,,,
City Mayor's Office,22. Request for Multimedia Services,,,,
City Mayor's Office,23. Request for Live Broadcast of Activity,,,,
City Mayor's Office,24. Request for Media Accreditation,,,,
City Mayor's Office,25. Request for E-Library Services,,,,
City Mayor's Office,26. Request for Library Materials Photocopy,,,,
City Mayor's Office,27. Pet Registration and Rabies Vaccination of Dogs and Cats,,,,
City Mayor's Office,28. Dog Impounding Services,,,,
City Mayor's Office,29. Redemption/Adoption of Impounded Dogs,,,,
City Mayor's Office,30. Castration (Neutering) in Dogs and Cats,,,,
City Mayor's Office - Permits & Inspections,31. Issuance of Meat Inspection Certificate,,,,
